# x f(x) derivative
4.35 82.3129 56.7675
4.355 82.597 56.8981
4.36 82.8819 57.0288
4.365 83.1673 57.1597
4.37 83.4535 57.2907
4.375 83.7402 57.4219
4.38 84.0277 57.5532
4.385 84.3158 57.6847
4.39 84.6045 57.8163
4.395 84.8939 57.9481
4.4 85.184 58.08
4.405 85.4747 58.2121
4.41 85.7661 58.3443
4.415 86.0582 58.4767
4.42 86.3509 58.6092
4.425 86.6443 58.7419
4.43 86.9383 58.8747
4.435 87.233 59.0077
4.44 87.5284 59.1408
4.445 87.8244 59.2741
4.45 88.1211 59.4075
4.455 88.4185 59.5411
4.46 88.7165 59.6748
4.465 89.0152 59.8087
4.47 89.3146 59.9427
4.475 89.6147 60.0769
4.48 89.9154 60.2112
4.485 90.2168 60.3457
4.49 90.5188 60.4803
4.495 90.8216 60.6151
4.5 91.125 60.75
4.505 91.4291 60.8851
4.51 91.7339 61.0203
4.515 92.0393 61.1557
4.52 92.3454 61.2912
4.525 92.6522 61.4269
4.53 92.9597 61.5627
4.535 93.2678 61.6987
4.54 93.5767 61.8348
4.545 93.8862 61.9711
4.55 94.1964 62.1075
4.555 94.5073 62.2441
4.56 94.8188 62.3808
4.565 95.1311 62.5177
4.57 95.444 62.6547
4.575 95.7576 62.7919
4.58 96.0719 62.9292
4.585 96.3869 63.0667
4.59 96.7026 63.2043
4.595 97.0189 63.3421
4.6 97.336 63.48
4.605 97.6537 63.6181
4.61 97.9722 63.7563
4.615 98.2913 63.8947
4.62 98.6111 64.0332
4.625 98.9316 64.1719
4.63 99.2528 64.3107
4.635 99.5747 64.4497
4.64 99.8973 64.5888
4.645 100.221 64.7281
4.65 100.545 64.8675
4.655 100.869 65.0071
4.66 101.195 65.1468
4.665 101.521 65.2867
4.67 101.848 65.4267
4.675 102.175 65.5669
4.68 102.503 65.7072
4.685 102.832 65.8477
4.69 103.162 65.9883
4.695 103.492 66.1291
4.7 103.823 66.27
4.705 104.155 66.4111
4.71 104.487 66.5523
4.715 104.82 66.6937
4.72 105.154 66.8352
4.725 105.489 66.9769
4.73 105.824 67.1187
4.735 106.16 67.2607
4.74 106.496 67.4028
4.745 106.834 67.5451
4.75 107.172 67.6875
4.755 107.511 67.8301
4.76 107.85 67.9728
4.765 108.19 68.1157
4.77 108.531 68.2587
4.775 108.873 68.4019
4.78 109.215 68.5452
4.785 109.558 68.6887
4.79 109.902 68.8323
4.795 110.247 68.9761
4.8 110.592 69.12
4.805 110.938 69.2641
4.81 111.285 69.4083
4.815 111.632 69.5527
4.82 111.98 69.6972
4.825 112.329 69.8419
4.83 112.679 69.9867
4.835 113.029 70.1317
4.84 113.38 70.2768
4.845 113.732 70.4221
4.85 114.084 70.5675
4.855 114.437 70.7131
4.86 114.791 70.8588
4.865 115.146 71.0047
4.87 115.501 71.1507
4.875 115.857 71.2969
4.88 116.214 71.4432
4.885 116.572 71.5897
4.89 116.93 71.7363
4.895 117.289 71.8831
4.9 117.649 72.03
4.905 118.01 72.1771
4.91 118.371 72.3243
4.915 118.733 72.4717
4.92 119.095 72.6192
4.925 119.459 72.7669
4.93 119.823 72.9147
4.935 120.188 73.0627
4.94 120.554 73.2108
4.945 120.92 73.3591
4.95 121.287 73.5075
4.955 121.655 73.6561
4.96 122.024 73.8048
4.965 122.393 73.9537
4.97 122.763 74.1027
4.975 123.134 74.2519
4.98 123.506 74.4012
4.985 123.878 74.5507
4.99 124.251 74.7003
4.995 124.625 74.8501
5 125 75
